year,price index real,total return index real,price index nominal,total return index nominal
1920,33.42,33.42,100.00,100.00
1921,41.69,44.40,92.30,98.30
1922,44.40,50.48,88.88,101.05
1923,46.86,56.76,92.26,111.76
1924,42.58,55.19,85.71,111.09
1925,48.75,67.14,96.00,132.20
1926,48.22,70.58,96.00,140.53
1927,47.28,73.85,88.89,138.84
1928,49.37,82.16,92.27,153.56
1929,47.82,84.96,88.86,157.86
1930,49.69,94.50,85.66,162.91
1931,52.04,105.90,85.66,174.32
1932,53.84,117.23,85.66,186.52
1933,57.99,134.47,92.25,213.94
1934,68.07,166.53,109.04,266.78
1935,81.50,208.36,133.25,340.68
1936,71.39,191.63,119.93,321.94
1937,61.24,173.45,109.01,308.74
1938,55.29,166.38,95.93,288.67
1939,#N/A,#N/A,#N/A,#N/A
1940,#N/A,#N/A,#N/A,#N/A
1941,#N/A,#N/A,#N/A,#N/A
1942,#N/A,#N/A,#N/A,#N/A
1943,#N/A,#N/A,#N/A,#N/A
1944,#N/A,#N/A,#N/A,#N/A
1945,#N/A,#N/A,#N/A,#N/A
1946,55.29,166.38,125.46,377.52
1947,51.16,162.32,119.81,380.16
1948,53.64,178.71,131.79,439.09
1949,49.60,171.97,126.13,437.33
1950,52.06,190.50,136.60,499.87
1951,44.93,172.06,132.09,505.87
1952,38.99,157.57,121.92,492.71
1953,39.31,166.84,124.23,527.20
1954,39.71,177.50,130.44,583.09
1955,35.75,168.87,124.31,587.17
1956,35.04,173.87,125.56,622.99
1957,32.55,170.49,122.04,639.18
1958,32.73,180.97,124.97,690.96
1959,34.47,201.06,131.59,767.65
1960,35.38,216.85,137.52,842.89
1961,34.10,220.85,138.34,895.99
1962,33.61,229.97,140.00,957.81
1963,34.49,249.05,146.30,1056.46
1964,33.76,257.34,150.10,1144.15
1965,31.96,257.90,148.45,1197.93
1966,29.96,256.70,144.30,1236.26
1967,29.77,270.35,146.89,1333.92
1968,32.37,309.56,169.22,1618.05
1969,30.90,311.13,169.05,1702.19
1970,34.14,359.30,201.51,2120.93
1971,34.97,384.24,225.09,2473.00
1972,39.92,456.48,276.63,3162.97
1973,44.52,527.99,341.09,4045.44
1974,29.26,366.52,267.07,3345.58
1975,24.43,323.11,278.56,3683.48
1976,21.85,305.79,286.63,4011.31
1977,23.24,343.57,341.96,5054.25
1978,25.63,398.15,408.64,6348.14
1979,25.40,414.65,474.84,7751.07
1980,24.60,422.51,529.44,9092.01
1981,24.57,441.05,592.40,10634.50
1982,24.78,464.71,629.82,11811.00
1983,24.05,472.60,643.84,12650.19
1984,24.39,505.04,682.66,14137.72
1985,24.87,543.26,735.87,16072.38
1986,27.69,636.00,849.59,19516.30
1987,36.70,879.86,1167.65,27997.28
1988,39.96,996.80,1357.52,33867.41
1989,37.39,973.03,1368.35,35607.92
1990,27.99,767.80,1120.18,30722.85
1991,20.10,590.64,840.28,24688.85
1992,16.38,520.93,702.28,22336.23
1993,17.47,603.60,763.21,26372.89
1994,17.70,657.41,795.55,29554.31
1995,16.92,674.82,785.15,31313.49
1996,17.05,727.13,810.61,34569.35
1997,18.19,825.53,896.29,40670.66
1998,18.31,880.92,926.80,44592.94
1999,18.86,963.50,971.35,49633.73
2000,20.26,1100.35,1074.26,58343.77
2001,21.25,1220.84,1134.50,65182.97
2002,19.21,1173.22,1056.08,64483.81
2003,17.37,1129.44,981.55,63815.86
2004,17.98,1236.65,1051.46,72310.49
2005,19.90,1437.37,1189.22,85905.81
2006,23.16,1738.86,1445.74,108529.47
2007,21.26,1653.81,1380.62,107396.93
2008,15.14,1229.69,993.14,80688.88
2009,13.76,1183.20,923.75,79422.04
2010,15.55,1407.43,1093.54,98981.95
2011,16.11,1526.24,1187.25,112506.60
2012,16.07,1593.66,1214.79,120499.46
2013,17.40,1807.58,1346.08,139806.55
2014,20.14,2176.58,1579.98,170789.67
2015,23.70,2647.80,1866.42,208529.54
2016,23.13,2665.07,1839.74,212005.91
2017,23.90,2841.67,1949.63,231836.37
2018,24.25,2977.76,2023.80,248509.63
2019,24.32,3092.22,2065.03,262547.54
2020,23.68,3112.87,2030.25,266915.88
2021,23.79,3229.96,2091.12,283930.36
